recommendation_id,prediction_id,warning_id,recommended_function,recommendation_text,priority,status,created_at
REC-0013,PRD-00028,WRN-0013,Reskrim,"Perkuat penyelidikan dan pengungkapan di Cipete Selatan, Cilandak pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00028 berskor 72/100 dengan keyakinan 80%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-10-11 15:10
REC-0014,PRD-00029,WRN-0014,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Senayan, Kebayoran Baru pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00029 berskor 82/100 dengan keyakinan 87%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-11-10 15:10
REC-0015,PRD-00031,WRN-0015,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Mampang Prapatan pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00031 berskor 83/100 dengan keyakinan 71%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-26 15:10
REC-0016,PRD-00033,WRN-0016,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Manggarai, Tebet pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00033 berskor 95/100 dengan keyakinan 86%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-11-03 15:10
REC-0017,PRD-00035,WRN-0017,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Ragunan, Pasar Minggu pada 12:00-18:00 WIB terhadap CURAT. Dasar: prediksi PRD-00035 berskor 95/100 dengan keyakinan 84%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-24 15:10
REC-0018,PRD-00037,WRN-0018,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Tebet Timur, Tebet pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00037 berskor 71/100 dengan keyakinan 62%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-10-23 15:10
REC-0019,PRD-00043,WRN-0019,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Duren Tiga, Pancoran pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00043 berskor 88/100 dengan keyakinan 97%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-25 15:10
REC-0020,PRD-00046,WRN-0020,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Pancoran pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00046 berskor 82/100 dengan keyakinan 91%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-10-22 15:10
REC-0021,PRD-00047,WRN-0021,Binmas,"Perkuat sambang dan penyuluhan warga di Gandaria Selatan, Cilandak pada 12:00-18:00 WIB terhadap CURAS. Dasar: prediksi PRD-00047 berskor 91/100 dengan keyakinan 94%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-12-07 15:10
REC-0022,PRD-00048,WRN-0022,Samapta,"Tingkatkan patroli dan penjagaan di Karet Kuningan, Setiabudi pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00048 berskor 84/100 dengan keyakinan 87%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-10-29 15:10
REC-0023,PRD-00049,WRN-0023,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Menteng Atas, Setiabudi pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00049 berskor 89/100 dengan keyakinan 91%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-11-26 15:10
REC-0024,PRD-00051,WRN-0024,Binmas,"Perkuat sambang dan penyuluhan warga di Pondok Pinang, Kebayoran Lama pada 06:00-12:00 WIB terhadap CURAT. Dasar: prediksi PRD-00051 berskor 91/100 dengan keyakinan 83%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-10-30 15:10
REC-0025,PRD-00059,WRN-0025,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Kebayoran Lama Utara, Kebayoran Lama pada 12:00-18:00 WIB terhadap CURAT. Dasar: prediksi PRD-00059 berskor 74/100 dengan keyakinan 68%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-08 15:10
REC-0026,PRD-00060,WRN-0026,Binmas,"Perkuat sambang dan penyuluhan warga di Menteng Atas, Setiabudi pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00060 berskor 73/100 dengan keyakinan 63%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-11-20 15:10
REC-0027,PRD-00061,WRN-0027,Samapta,"Tingkatkan patroli dan penjagaan di Karet Kuningan, Setiabudi pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00061 berskor 70/100 dengan keyakinan 58%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-11 15:10
REC-0028,PRD-00062,WRN-0028,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Srengseng Sawah, Jagakarsa pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00062 berskor 78/100 dengan keyakinan 79%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-28 15:10
REC-0029,PRD-00064,WRN-0029,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Mampang Prapatan pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00064 berskor 90/100 dengan keyakinan 81%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-10-24 15:10
REC-0030,PRD-00066,WRN-0030,Reskrim,"Perkuat penyelidikan dan pengungkapan di Cilandak Barat, Cilandak pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00066 berskor 92/100 dengan keyakinan 88%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-15 15:10
REC-0031,PRD-00067,WRN-0031,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Cipete Utara, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00067 berskor 93/100 dengan keyakinan 90%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-12-25 15:10
REC-0032,PRD-00070,WRN-0032,Samapta,"Tingkatkan patroli dan penjagaan di Lebak Bulus, Cilandak pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00070 berskor 76/100 dengan keyakinan 81%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-11-16 15:10
REC-0033,PRD-00072,WRN-0033,Samapta,"Tingkatkan patroli dan penjagaan di Duren Tiga, Pancoran pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00072 berskor 88/100 dengan keyakinan 90%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-12-07 15:10
REC-0034,PRD-00076,WRN-0034,Samapta,"Tingkatkan patroli dan penjagaan di Kalibata, Pancoran pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00076 berskor 76/100 dengan keyakinan 75%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-17 15:10
REC-0035,PRD-00079,WRN-0035,Samapta,"Tingkatkan patroli dan penjagaan di Manggarai, Tebet pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00079 berskor 93/100 dengan keyakinan 98%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-12-09 15:10
REC-0036,PRD-00080,WRN-0036,Reskrim,"Perkuat penyelidikan dan pengungkapan di Tegal Parang, Mampang Prapatan pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00080 berskor 77/100 dengan keyakinan 82%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-10-28 15:10
REC-0037,PRD-00081,WRN-0037,Samapta,"Tingkatkan patroli dan penjagaan di Pulo, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00081 berskor 88/100 dengan keyakinan 90%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-11-07 15:10
REC-0038,PRD-00082,WRN-0038,Reskrim,"Perkuat penyelidikan dan pengungkapan di Menteng Dalam, Tebet pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00082 berskor 76/100 dengan keyakinan 81%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-11-17 15:10
REC-0039,PRD-00083,WRN-0039,Reskrim,"Perkuat penyelidikan dan pengungkapan di Kebayoran Lama Utara, Kebayoran Lama pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00083 berskor 74/100 dengan keyakinan 78%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-08 15:10
REC-0040,PRD-00084,WRN-0040,Reskrim,"Perkuat penyelidikan dan pengungkapan di Tegal Parang, Mampang Prapatan pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00084 berskor 78/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-27 15:10
REC-0041,PRD-00088,WRN-0041,Binmas,"Perkuat sambang dan penyuluhan warga di Srengseng Sawah, Jagakarsa pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00088 berskor 82/100 dengan keyakinan 88%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-10-24 15:10
REC-0042,PRD-00090,WRN-0042,Reskrim,"Perkuat penyelidikan dan pengungkapan di Pejaten Timur, Pasar Minggu pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00090 berskor 79/100 dengan keyakinan 68%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-10-17 15:10
REC-0043,PRD-00094,WRN-0043,Samapta,"Tingkatkan patroli dan penjagaan di Cilandak Barat, Cilandak pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00094 berskor 72/100 dengan keyakinan 72%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-29 15:10
REC-0044,PRD-00097,WRN-0044,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Tebet Barat, Tebet pada 00:00-06:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00097 berskor 79/100 dengan keyakinan 73%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-12-12 15:10
REC-0045,PRD-00099,WRN-0045,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Srengseng Sawah, Jagakarsa pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00099 berskor 89/100 dengan keyakinan 83%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-19 15:10
REC-0046,PRD-00101,WRN-0046,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Jagakarsa pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00101 berskor 76/100 dengan keyakinan 84%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-28 15:10
REC-0047,PRD-00104,WRN-0047,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Srengseng Sawah, Jagakarsa pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00104 berskor 83/100 dengan keyakinan 90%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-10-18 15:10
REC-0048,PRD-00105,WRN-0048,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Duren Tiga, Pancoran pada 00:00-06:00 WIB terhadap CURAS. Dasar: prediksi PRD-00105 berskor 94/100 dengan keyakinan 98%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-11-18 15:10
REC-0049,PRD-00106,WRN-0049,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Ragunan, Pasar Minggu pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00106 berskor 78/100 dengan keyakinan 87%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-19 15:10
REC-0050,PRD-00108,WRN-0050,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Ciganjur, Jagakarsa pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00108 berskor 92/100 dengan keyakinan 98%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-11-04 15:10
REC-0051,PRD-00109,WRN-0051,Reskrim,"Perkuat penyelidikan dan pengungkapan di Tebet Barat, Tebet pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00109 berskor 76/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-11-26 15:10
REC-0052,PRD-00110,WRN-0052,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Tebet Barat, Tebet pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00110 berskor 70/100 dengan keyakinan 73%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-10 15:10
REC-0053,PRD-00111,WRN-0053,Samapta,"Tingkatkan patroli dan penjagaan di Kuningan Timur, Setiabudi pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00111 berskor 95/100 dengan keyakinan 89%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-12-16 15:10
REC-0054,PRD-00112,WRN-0054,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Menteng Dalam, Tebet pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00112 berskor 79/100 dengan keyakinan 71%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-10-16 15:10
REC-0055,PRD-00114,WRN-0055,Binmas,"Perkuat sambang dan penyuluhan warga di Pejaten Timur, Pasar Minggu pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00114 berskor 73/100 dengan keyakinan 75%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-24 15:10
REC-0056,PRD-00117,WRN-0056,Samapta,"Tingkatkan patroli dan penjagaan di Cilandak Barat, Cilandak pada 00:00-06:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00117 berskor 70/100 dengan keyakinan 60%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-11-12 15:10
REC-0057,PRD-00118,WRN-0057,Reskrim,"Perkuat penyelidikan dan pengungkapan di Grogol Utara, Kebayoran Lama pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00118 berskor 94/100 dengan keyakinan 82%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-11-08 15:10
REC-0058,PRD-00126,WRN-0058,Binmas,"Perkuat sambang dan penyuluhan warga di Kramat Pela, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00126 berskor 70/100 dengan keyakinan 60%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-10-16 15:10
REC-0059,PRD-00128,WRN-0059,Samapta,"Tingkatkan patroli dan penjagaan di Duren Tiga, Pancoran pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00128 berskor 81/100 dengan keyakinan 71%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-11-22 15:10
REC-0060,PRD-00129,WRN-0060,Samapta,"Tingkatkan patroli dan penjagaan di Pejaten Barat, Pasar Minggu pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00129 berskor 85/100 dengan keyakinan 86%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-11-13 15:10
REC-0061,PRD-00130,WRN-0061,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Gandaria Selatan, Cilandak pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00130 berskor 84/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-10-18 15:10
REC-0062,PRD-00133,WRN-0062,Binmas,"Perkuat sambang dan penyuluhan warga di Mampang Prapatan pada 00:00-06:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00133 berskor 95/100 dengan keyakinan 85%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-10-30 15:10
REC-0063,PRD-00134,WRN-0063,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Pejaten Timur, Pasar Minggu pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00134 berskor 86/100 dengan keyakinan 95%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-11-12 15:10
REC-0064,PRD-00135,WRN-0064,Reskrim,"Perkuat penyelidikan dan pengungkapan di Tegal Parang, Mampang Prapatan pada 12:00-18:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00135 berskor 90/100 dengan keyakinan 84%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-12-11 15:10
REC-0065,PRD-00139,WRN-0065,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Tebet Timur, Tebet pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00139 berskor 91/100 dengan keyakinan 81%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-12-29 15:10
REC-0066,PRD-00142,WRN-0066,Samapta,"Tingkatkan patroli dan penjagaan di Mampang Prapatan pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00142 berskor 81/100 dengan keyakinan 73%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-11-27 15:10
REC-0067,PRD-00143,WRN-0067,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Cilandak Barat, Cilandak pada 06:00-12:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00143 berskor 88/100 dengan keyakinan 87%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-10-12 15:10
REC-0068,PRD-00145,WRN-0068,Reskrim,"Perkuat penyelidikan dan pengungkapan di Kuningan Timur, Setiabudi pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00145 berskor 80/100 dengan keyakinan 89%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-12-06 15:10
REC-0069,PRD-00148,WRN-0069,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Pejaten Barat, Pasar Minggu pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00148 berskor 91/100 dengan keyakinan 98%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-12-21 15:10
REC-0070,PRD-00152,WRN-0070,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Lebak Bulus, Cilandak pada 06:00-12:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00152 berskor 94/100 dengan keyakinan 91%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-12-28 15:10
REC-0071,PRD-00156,WRN-0071,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Cipete Utara, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00156 berskor 88/100 dengan keyakinan 90%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-12-29 15:10
REC-0072,PRD-00158,WRN-0072,Reskrim,"Perkuat penyelidikan dan pengungkapan di Ciganjur, Jagakarsa pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00158 berskor 74/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-11-20 15:10
