action_id,decision_id,unit_id,grid_id,kecamatan,created_by,start_at,end_at,status,result
ACT-0032,DEC-0057,UNIT-006,JKS-008,Kebayoran Lama,USER-002,2025-11-09T18:00+07:00,2025-11-10T00:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
ACT-0033,DEC-0059,UNIT-003,JKS-018,Pancoran,USER-002,2025-11-23T18:00+07:00,2025-11-24T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0034,DEC-0060,UNIT-001,JKS-013,Pasar Minggu,USER-002,2025-11-16T18:00+07:00,2025-11-17T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0035,DEC-0061,UNIT-002,JKS-010,Cilandak,USER-002,2025-10-25T18:00+07:00,2025-10-26T00:00+07:00,Active,Penugasan sedang berjalan.
ACT-0036,DEC-0063,UNIT-003,JKS-014,Pasar Minggu,USER-002,2025-11-15T18:00+07:00,2025-11-16T00:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
ACT-0037,DEC-0064,UNIT-006,JKS-026,Mampang Prapatan,USER-002,2025-12-18T12:00+07:00,2025-12-18T18:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0038,DEC-0065,UNIT-005,JKS-021,Tebet,USER-002,2026-01-01T18:00+07:00,2026-01-02T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0039,DEC-0066,UNIT-003,JKS-024,Mampang Prapatan,USER-002,2025-11-27T18:00+07:00,2025-11-28T00:00+07:00,Active,Penugasan sedang berjalan.
ACT-0040,DEC-0069,UNIT-001,JKS-013,Pasar Minggu,USER-002,2025-12-22T18:00+07:00,2025-12-23T00:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
ACT-0041,DEC-0070,UNIT-002,JKS-011,Cilandak,USER-002,2025-12-28T06:00+07:00,2025-12-28T12:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0042,DEC-0071,UNIT-003,JKS-004,Kebayoran Baru,USER-002,2025-12-29T18:00+07:00,2025-12-30T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0043,DEC-0072,UNIT-006,JKS-031,Jagakarsa,USER-002,2025-11-21T18:00+07:00,2025-11-22T00:00+07:00,Active,Penugasan sedang berjalan.
ACT-0044,DEC-0074,UNIT-006,JKS-020,Tebet,USER-002,2025-12-04T18:00+07:00,2025-12-05T00:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
ACT-0045,DEC-0075,UNIT-003,JKS-018,Pancoran,USER-002,2025-10-11T00:00+07:00,2025-10-11T06:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0046,DEC-0077,UNIT-004,JKS-028,Setiabudi,USER-002,2025-10-26T18:00+07:00,2025-10-27T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0047,DEC-0078,UNIT-002,JKS-030,Jagakarsa,USER-002,2025-10-17T18:00+07:00,2025-10-18T00:00+07:00,Active,Penugasan sedang berjalan.
ACT-0048,DEC-0079,UNIT-003,JKS-026,Mampang Prapatan,USER-002,2025-12-12T18:00+07:00,2025-12-13T00:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
ACT-0049,DEC-0080,UNIT-005,JKS-023,Tebet,USER-002,2025-10-30T12:00+07:00,2025-10-30T18:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0050,DEC-0081,UNIT-005,JKS-004,Kebayoran Baru,USER-002,2025-10-12T18:00+07:00,2025-10-13T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0051,DEC-0082,UNIT-006,JKS-002,Kebayoran Baru,USER-002,2025-11-22T18:00+07:00,2025-11-23T00:00+07:00,Active,Penugasan sedang berjalan.
ACT-0052,DEC-0084,UNIT-006,JKS-024,Mampang Prapatan,USER-002,2025-11-20T18:00+07:00,2025-11-21T00:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
ACT-0053,DEC-0085,UNIT-002,JKS-037,Pesanggrahan,USER-002,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0054,DEC-0086,UNIT-006,JKS-037,Pesanggrahan,USER-002,2025-11-02T00:00+07:00,2025-11-02T06:00+07:00,Completed,Kegiatan preventif terlaksana; situasi terkendali.
ACT-0055,DEC-0087,UNIT-005,JKS-034,Pesanggrahan,USER-002,2025-12-24T18:00+07:00,2025-12-25T00:00+07:00,Active,Penugasan sedang berjalan.
ACT-0056,DEC-0089,UNIT-002,JKS-034,Pesanggrahan,USER-002,2025-12-26T06:00+07:00,2025-12-26T12:00+07:00,Planned,"Penugasan dijadwalkan, menunggu pelaksanaan."
