public_alert_id,warning_id,severity,threat_type,area_text,time_window,window_start,window_end,status,public_message
PAL-0012,WRN-0043,Warning,CURAT,Kecamatan Cilandak,18:00-23:59,2026-01-01T18:00+07:00,2026-01-02T00:00+07:00,Active,"Imbauan kewaspadaan pencurian dengan pemberatan di wilayah Kecamatan Cilandak pada pukul 18:00-23:59 WIB. Pastikan pintu dan pagar terkunci, aktifkan kembali ronda lingkungan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0013,WRN-0044,Warning,CURANMOR,Kecamatan Tebet,00:00-06:00,2025-12-12T00:00+07:00,2025-12-12T06:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Tebet pada pukul 00:00-06:00 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0014,WRN-0046,Warning,CURAS,Kecamatan Jagakarsa,18:00-23:59,2025-12-28T18:00+07:00,2025-12-29T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian dengan kekerasan di wilayah Kecamatan Jagakarsa pada pukul 18:00-23:59 WIB. Hindari jalur sepi dan gelap, jangan menampakkan barang berharga di jalan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0015,WRN-0049,Warning,CURAT,Kecamatan Pasar Minggu,00:00-06:00,2025-12-19T00:00+07:00,2025-12-19T06:00+07:00,Expired,"Imbauan kewaspadaan pencurian dengan pemberatan di wilayah Kecamatan Pasar Minggu pada pukul 00:00-06:00 WIB. Pastikan pintu dan pagar terkunci, aktifkan kembali ronda lingkungan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0016,WRN-0052,Warning,CURAS,Kecamatan Tebet,18:00-23:59,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,Resolved,"Imbauan kewaspadaan pencurian dengan kekerasan di wilayah Kecamatan Tebet pada pukul 18:00-23:59 WIB. Hindari jalur sepi dan gelap, jangan menampakkan barang berharga di jalan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0017,WRN-0053,Critical,CURANMOR,Kecamatan Setiabudi,18:00-23:59,2025-12-16T18:00+07:00,2025-12-17T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Setiabudi pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0018,WRN-0055,Warning,CURANMOR,Kecamatan Pasar Minggu,12:00-18:00,2025-12-27T12:00+07:00,2025-12-27T18:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Pasar Minggu pada pukul 12:00-18:00 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0019,WRN-0064,Critical,CURANMOR,Kecamatan Mampang Prapatan,12:00-18:00,2025-12-18T12:00+07:00,2025-12-18T18:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Mampang Prapatan pada pukul 12:00-18:00 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0020,WRN-0065,Critical,CURANMOR,Kecamatan Tebet,18:00-23:59,2026-01-01T18:00+07:00,2026-01-02T00:00+07:00,Resolved,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Tebet pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0021,WRN-0068,Warning,CURANMOR,Kecamatan Setiabudi,18:00-23:59,2025-12-13T18:00+07:00,2025-12-14T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Setiabudi pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0022,WRN-0069,Critical,CURANMOR,Kecamatan Pasar Minggu,18:00-23:59,2025-12-22T18:00+07:00,2025-12-23T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Pasar Minggu pada pukul 18:00-23:59 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0023,WRN-0070,Critical,CURANMOR,Kecamatan Cilandak,06:00-12:00,2025-12-28T06:00+07:00,2025-12-28T12:00+07:00,Expired,"Imbauan kewaspadaan pencurian kendaraan bermotor di wilayah Kecamatan Cilandak pada pukul 06:00-12:00 WIB. Gunakan kunci ganda, parkir di tempat terang dan terawasi, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0024,WRN-0071,Critical,CURAS,Kecamatan Kebayoran Baru,18:00-23:59,2025-12-29T18:00+07:00,2025-12-30T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian dengan kekerasan di wilayah Kecamatan Kebayoran Baru pada pukul 18:00-23:59 WIB. Hindari jalur sepi dan gelap, jangan menampakkan barang berharga di jalan, serta laporkan hal mencurigakan ke Polsek setempat."
PAL-0025,WRN-0079,Warning,CURAT,Kecamatan Mampang Prapatan,18:00-23:59,2025-12-12T18:00+07:00,2025-12-13T00:00+07:00,Expired,"Imbauan kewaspadaan pencurian dengan pemberatan di wilayah Kecamatan Mampang Prapatan pada pukul 18:00-23:59 WIB. Pastikan pintu dan pagar terkunci, aktifkan kembali ronda lingkungan, serta laporkan hal mencurigakan ke Polsek setempat."
