report_id,reported_at,incident_time,category,description,grid_id,latitude,longitude,location_text,urgency_score,verification_score,status
RPT-0012,2024-07-29T23:58+07:00,2024-07-29T13:21+07:00,Gangguan Lalu Lintas,Kendaraan berhenti di mulut persimpangan sehingga arus tersendat.,JKS-028,-6.228517,106.831701,"Sekitar Kuningan Timur, di jalan utama",19,67,Ditangani
RPT-0013,2023-05-31T03:29+07:00,2023-05-29T18:30+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-025,-6.255276,106.813789,"Sekitar Bangka, dekat taman",66,69,Selesai
RPT-0014,2025-12-25T00:40+07:00,2025-12-24T06:57+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-031,-6.333439,106.796455,"Sekitar Ciganjur, di area parkir",34,36,Diterima
RPT-0015,2025-09-28T04:54+07:00,2025-09-27T16:51+07:00,Kerawanan Lingkungan,Portal permukiman rusak dan tidak dapat ditutup pada malam hari.,JKS-012,-6.290248,106.800903,"Sekitar Cilandak Barat, dekat taman",21,37,Diverifikasi
RPT-0016,2023-07-21T13:27+07:00,2023-07-20T19:26+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-006,-6.276424,106.767130,"Sekitar Pondok Pinang, di deretan pertokoan",34,55,Ditangani
RPT-0017,2023-10-14T17:02+07:00,2023-10-13T12:49+07:00,Gangguan Lalu Lintas,Kendaraan berhenti di mulut persimpangan sehingga arus tersendat.,JKS-026,-6.255641,106.823754,"Sekitar Tegal Parang, di deretan pertokoan",22,55,Diteruskan
RPT-0018,2025-12-17T12:28+07:00,2025-12-16T19:15+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-027,-6.217132,106.827769,"Sekitar Karet Kuningan, di area parkir",38,20,Diterima
RPT-0019,2025-02-26T17:10+07:00,2025-02-25T14:45+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-037,-6.270695,106.763796,"Sekitar Bintaro, di kolong jalan layang",39,57,Ditangani
RPT-0020,2025-10-05T00:02+07:00,2025-10-03T15:05+07:00,Kejahatan Jalanan,Perampasan telepon genggam di pinggir jalan; pelaku langsung melarikan diri.,JKS-011,-6.294586,106.772684,"Sekitar Lebak Bulus, di area parkir",65,63,Diteruskan
RPT-0021,2024-12-08T01:24+07:00,2024-12-08T00:13+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-003,-6.247004,106.792240,"Sekitar Kramat Pela, dekat taman",25,68,Diteruskan
RPT-0022,2024-09-17T18:05+07:00,,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-028,-6.228511,106.832921,"Sekitar Kuningan Timur, di jalan utama",34,62,Diteruskan
RPT-0023,2024-09-19T15:11+07:00,2024-09-18T10:44+07:00,Kejahatan Jalanan,Percobaan penjambretan terhadap pejalan kaki di trotoar dekat perempatan.,,-6.233258,106.828245,"Wilayah Setiabudi, di jalan utama",55,32,Diteruskan
RPT-0024,2024-03-26T08:54+07:00,2024-03-25T13:32+07:00,Pencurian Kendaraan,Mobil kehilangan kaca spion di bahu jalan permukiman.,JKS-030,-6.336086,106.817359,"Sekitar Jagakarsa, di gang permukiman",78,67,Ditangani
RPT-0025,2024-07-18T05:17+07:00,2024-07-17T09:14+07:00,Kejahatan Jalanan,Aksi pemalakan terhadap pengguna jalan pada jam pulang kerja.,,-6.272516,106.783665,"Wilayah Kebayoran Baru, di deretan pertokoan",65,62,Ditangani
RPT-0026,2024-04-05T12:18+07:00,2024-04-04T21:34+07:00,Keramaian Meresahkan,Balap liar berlangsung di jalan lurus setiap akhir pekan dini hari.,JKS-014,-6.274726,106.849276,"Sekitar Pejaten Timur, dekat pasar",34,51,Ditangani
RPT-0027,2025-05-31T16:17+07:00,2025-05-30T08:55+07:00,Keramaian Meresahkan,Balap liar berlangsung di jalan lurus setiap akhir pekan dini hari.,JKS-016,-6.286794,106.836282,"Sekitar Jati Padang, dekat halte",39,38,Diteruskan
RPT-0028,2025-12-28T00:50+07:00,2025-12-27T18:51+07:00,Gangguan Lalu Lintas,Kendaraan berhenti di mulut persimpangan sehingga arus tersendat.,,-6.227737,106.790609,"Wilayah Kebayoran Baru, di deretan pertokoan",25,35,Diverifikasi
RPT-0029,2024-10-11T11:00+07:00,2024-10-11T09:51+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-010,-6.286753,106.798607,"Sekitar Gandaria Selatan, di area parkir",82,82,Ditangani
RPT-0030,2025-12-18T13:52+07:00,2025-12-17T17:50+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-007,-6.251359,106.768731,"Sekitar Kebayoran Lama Utara, di jalan utama",76,47,Diverifikasi
RPT-0031,2025-05-03T11:04+07:00,2025-05-03T09:53+07:00,Kejahatan Jalanan,Pengendara motor dipepet dari belakang saat melintasi jalan yang minim lampu.,JKS-025,-6.257693,106.812923,"Sekitar Bangka, di jalan utama",45,20,Diverifikasi
RPT-0032,2025-12-04T23:46+07:00,2025-12-04T18:43+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-018,-6.253525,106.832225,"Sekitar Duren Tiga, di kolong jalan layang",38,10,Diterima
RPT-0033,2024-02-02T08:41+07:00,2024-02-01T17:08+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-011,-6.292972,106.774435,"Sekitar Lebak Bulus, di deretan pertokoan",92,65,Diteruskan
RPT-0034,2025-03-01T08:43+07:00,2025-03-01T00:33+07:00,Keramaian Meresahkan,Balap liar berlangsung di jalan lurus setiap akhir pekan dini hari.,JKS-029,-6.219694,106.840411,"Sekitar Menteng Atas, di jalan utama",53,49,Diteruskan
RPT-0035,2023-07-09T17:25+07:00,2023-07-08T23:15+07:00,Pencurian Kendaraan,Sepeda motor dibawa pergi dari halaman rumah tanpa kunci ganda.,JKS-016,-6.286035,106.833433,"Sekitar Jati Padang, dekat halte",74,68,Selesai
RPT-0036,2025-12-29T08:26+07:00,,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-018,-6.252895,106.829238,"Sekitar Duren Tiga, di gang permukiman",66,17,Diverifikasi
RPT-0037,2025-04-20T15:19+07:00,2025-04-19T11:04+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-005,-6.241155,106.808468,"Sekitar Pulo, dekat taman",88,47,Diverifikasi
RPT-0038,2025-08-25T20:59+07:00,2025-08-24T21:13+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-005,-6.239180,106.810082,"Sekitar Pulo, di gang permukiman",57,42,Diverifikasi
RPT-0039,2024-09-30T01:15+07:00,2024-09-29T16:44+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-034,-6.235792,106.762802,"Sekitar Ulujami, dekat taman",95,83,Ditangani
RPT-0040,2025-03-09T14:19+07:00,2025-03-08T11:06+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-019,-6.256329,106.857312,"Sekitar Kalibata, di jalan utama",15,42,Diteruskan
RPT-0041,2025-08-01T04:42+07:00,2025-08-01T00:55+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-020,-6.233687,106.846934,"Sekitar Tebet Barat, di jalan utama",32,45,Diverifikasi
RPT-0042,2025-11-29T12:55+07:00,2025-11-28T01:12+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-002,-6.236500,106.793789,"Sekitar Gunung, dekat taman",85,2,Diterima
RPT-0043,2025-12-27T12:13+07:00,2025-12-26T15:38+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-024,-6.247234,106.818990,"Sekitar Mampang Prapatan, di kolong jalan layang",68,29,Diverifikasi
RPT-0044,2025-04-05T09:22+07:00,2025-04-03T22:20+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-034,-6.236591,106.762199,"Sekitar Ulujami, dekat taman",49,60,Ditangani
RPT-0045,2024-09-06T04:46+07:00,2024-09-05T14:53+07:00,Keramaian Meresahkan,Balap liar berlangsung di jalan lurus setiap akhir pekan dini hari.,JKS-009,-6.279028,106.812517,"Sekitar Cipete Selatan, dekat halte",48,81,Ditangani
RPT-0046,2025-11-06T02:47+07:00,2025-11-05T14:36+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,,-6.257936,106.804458,"Wilayah Kebayoran Baru, di deretan pertokoan",27,23,Diterima
RPT-0047,2023-10-03T00:35+07:00,2023-10-02T22:25+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-033,-6.343354,106.822939,"Sekitar Srengseng Sawah, di kolong jalan layang",22,62,Ditangani
RPT-0048,2024-09-24T21:52+07:00,2024-09-24T21:27+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-032,-6.311799,106.837116,"Sekitar Lenteng Agung, di area parkir",36,52,Diteruskan
RPT-0049,2023-09-25T06:24+07:00,2023-09-24T22:18+07:00,Kejahatan Jalanan,Percobaan penjambretan terhadap pejalan kaki di trotoar dekat perempatan.,JKS-004,-6.267886,106.801780,"Sekitar Cipete Utara, dekat pasar",70,70,Selesai
RPT-0050,2024-02-28T02:36+07:00,2024-02-27T12:02+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-032,-6.312696,106.837505,"Sekitar Lenteng Agung, di area parkir",84,66,Diteruskan
RPT-0051,2024-11-14T15:12+07:00,2024-11-14T14:23+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-014,-6.276339,106.850480,"Sekitar Pejaten Timur, di kolong jalan layang",32,36,Diteruskan
RPT-0052,2025-12-23T23:38+07:00,2025-12-23T17:47+07:00,Kejahatan Jalanan,Percobaan penjambretan terhadap pejalan kaki di trotoar dekat perempatan.,JKS-023,-6.209499,106.850722,"Sekitar Manggarai, di kolong jalan layang",53,43,Diverifikasi
RPT-0053,2025-12-30T04:20+07:00,2025-12-29T19:14+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-003,-6.247704,106.792278,"Sekitar Kramat Pela, dekat pasar",46,49,Diverifikasi
RPT-0054,2025-10-26T20:43+07:00,2025-10-26T19:55+07:00,Keramaian Meresahkan,Kerumunan berkumpul sampai larut malam disertai suara bising.,JKS-032,-6.312337,106.837387,"Sekitar Lenteng Agung, di area parkir",37,37,Diverifikasi
RPT-0055,2025-11-18T14:08+07:00,2025-11-17T18:15+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-011,-6.292392,106.773197,"Sekitar Lebak Bulus, di deretan pertokoan",70,12,Diterima
RPT-0056,2025-12-30T02:48+07:00,2025-12-29T19:24+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-002,-6.236611,106.791229,"Sekitar Gunung, di kolong jalan layang",17,12,Diterima
RPT-0057,2024-04-25T22:28+07:00,2024-04-24T17:52+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-005,-6.240086,106.810799,"Sekitar Pulo, di deretan pertokoan",67,61,Ditangani
RPT-0058,2024-11-22T11:05+07:00,2024-11-21T15:43+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-004,-6.268000,106.800489,"Sekitar Cipete Utara, di jalan utama",29,55,Diteruskan
RPT-0059,2025-06-14T09:01+07:00,,Keramaian Meresahkan,Balap liar berlangsung di jalan lurus setiap akhir pekan dini hari.,JKS-027,-6.219752,106.829712,"Sekitar Karet Kuningan, di gang permukiman",45,68,Ditangani
RPT-0060,2025-10-29T04:54+07:00,2025-10-27T21:08+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-026,-6.254762,106.823873,"Sekitar Tegal Parang, di gang permukiman",36,66,Diteruskan
RPT-0061,2025-01-05T23:08+07:00,2025-01-05T20:08+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-012,-6.291624,106.800986,"Sekitar Cilandak Barat, di kolong jalan layang",33,35,Diteruskan
RPT-0062,2024-03-22T23:20+07:00,2024-03-22T21:01+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-017,-6.251656,106.839147,"Sekitar Pancoran, dekat pasar",77,58,Ditangani
RPT-0063,2024-06-15T04:41+07:00,2024-06-13T18:27+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-035,-6.229299,106.750984,"Sekitar Petukangan Utara, dekat taman",76,50,Diteruskan
RPT-0064,2025-07-26T14:25+07:00,2025-07-25T07:58+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-036,-6.254373,106.760061,"Sekitar Pesanggrahan, di jalan utama",61,34,Diteruskan
RPT-0065,2023-10-06T02:35+07:00,2023-10-04T20:25+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-015,-6.310604,106.818513,"Sekitar Ragunan, dekat pasar",39,60,Ditangani
RPT-0066,2025-05-10T09:39+07:00,2025-05-09T13:36+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-019,-6.256711,106.857092,"Sekitar Kalibata, di area parkir",25,67,Diteruskan
RPT-0067,2025-01-09T16:19+07:00,,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-004,-6.265606,106.799890,"Sekitar Cipete Utara, di kolong jalan layang",27,61,Diteruskan
RPT-0068,2025-01-15T21:38+07:00,2025-01-15T18:04+07:00,Kejahatan Jalanan,Aksi pemalakan terhadap pengguna jalan pada jam pulang kerja.,JKS-018,-6.252356,106.832355,"Sekitar Duren Tiga, di kolong jalan layang",73,59,Diteruskan
RPT-0069,2023-08-04T16:07+07:00,2023-08-04T14:20+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-034,-6.235753,106.761717,"Sekitar Ulujami, di area parkir",19,72,Selesai
RPT-0070,2025-06-19T07:13+07:00,2025-06-18T01:49+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-008,-6.229513,106.779326,"Sekitar Grogol Utara, di gang permukiman",37,69,Ditangani
RPT-0071,2025-12-23T03:17+07:00,,Pencurian Kendaraan,Sepeda motor dibawa pergi dari halaman rumah tanpa kunci ganda.,JKS-033,-6.345032,106.822465,"Sekitar Srengseng Sawah, dekat taman",58,39,Diverifikasi
RPT-0072,2025-12-26T09:36+07:00,,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-030,-6.336128,106.819693,"Sekitar Jagakarsa, dekat halte",15,26,Diterima
RPT-0073,2024-08-03T19:52+07:00,2024-08-02T09:09+07:00,Pencurian Kendaraan,Mobil kehilangan kaca spion di bahu jalan permukiman.,JKS-037,-6.270863,106.762431,"Sekitar Bintaro, dekat pasar",57,47,Diteruskan
RPT-0074,2025-12-18T02:49+07:00,2025-12-16T22:49+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-036,-6.254458,106.758757,"Sekitar Pesanggrahan, di gang permukiman",19,19,Diterima
RPT-0075,2025-12-28T06:49+07:00,2025-12-28T00:53+07:00,Kejahatan Jalanan,Pengendara motor dipepet dari belakang saat melintasi jalan yang minim lampu.,JKS-009,-6.280521,106.809477,"Sekitar Cipete Selatan, di area parkir",49,16,Diterima
RPT-0076,2023-08-15T15:57+07:00,2023-08-15T02:42+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-009,-6.278999,106.812485,"Sekitar Cipete Selatan, di area parkir",44,72,Selesai
RPT-0077,2025-03-14T05:37+07:00,2025-03-14T03:49+07:00,Keramaian Meresahkan,Kerumunan berkumpul sampai larut malam disertai suara bising.,JKS-004,-6.265489,106.798956,"Sekitar Cipete Utara, di kolong jalan layang",47,46,Diverifikasi
RPT-0078,2025-07-15T23:41+07:00,2025-07-14T22:22+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-025,-6.258796,106.815319,"Sekitar Bangka, di kolong jalan layang",53,49,Diteruskan
RPT-0079,2023-10-13T13:42+07:00,2023-10-13T12:42+07:00,Keramaian Meresahkan,Kerumunan berkumpul sampai larut malam disertai suara bising.,JKS-022,-6.239289,106.834353,"Sekitar Menteng Dalam, di kolong jalan layang",44,48,Diteruskan
RPT-0080,2025-05-13T03:39+07:00,2025-05-12T14:47+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-033,-6.346489,106.822325,"Sekitar Srengseng Sawah, di jalan utama",53,35,Diteruskan
RPT-0081,2024-07-02T03:12+07:00,2024-07-01T18:42+07:00,Keramaian Meresahkan,Kerumunan berkumpul sampai larut malam disertai suara bising.,JKS-023,-6.210755,106.850775,"Sekitar Manggarai, dekat pasar",50,56,Ditangani
RPT-0082,2025-09-19T20:29+07:00,2025-09-19T17:04+07:00,Kejahatan Jalanan,Percobaan penjambretan terhadap pejalan kaki di trotoar dekat perempatan.,JKS-033,-6.343248,106.822680,"Sekitar Srengseng Sawah, dekat taman",65,34,Diverifikasi
RPT-0083,2024-06-13T13:34+07:00,2024-06-12T12:05+07:00,Gangguan Lalu Lintas,Kendaraan berhenti di mulut persimpangan sehingga arus tersendat.,JKS-011,-6.294477,106.773954,"Sekitar Lebak Bulus, di kolong jalan layang",17,94,Selesai
RPT-0084,2025-11-15T16:00+07:00,2025-11-15T12:57+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-018,-6.253563,106.830259,"Sekitar Duren Tiga, di gang permukiman",81,63,Diteruskan
RPT-0085,2023-03-28T03:35+07:00,2023-03-27T08:35+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-015,-6.310041,106.818993,"Sekitar Ragunan, dekat halte",91,66,Selesai
RPT-0086,2025-06-18T12:47+07:00,2025-06-18T11:17+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-018,-6.253849,106.831069,"Sekitar Duren Tiga, di gang permukiman",95,67,Diteruskan
RPT-0087,2025-11-30T02:10+07:00,2025-11-29T18:38+07:00,Pencurian Kendaraan,Sepeda motor dibawa pergi dari halaman rumah tanpa kunci ganda.,JKS-006,-6.274990,106.766713,"Sekitar Pondok Pinang, di deretan pertokoan",78,36,Diterima
RPT-0088,2025-12-25T05:44+07:00,2025-12-24T14:54+07:00,Pencurian Kendaraan,Mobil kehilangan kaca spion di bahu jalan permukiman.,JKS-011,-6.291348,106.773180,"Sekitar Lebak Bulus, di gang permukiman",80,42,Diverifikasi
RPT-0089,2025-02-03T21:29+07:00,2025-02-03T20:51+07:00,Gangguan Lalu Lintas,Kendaraan berhenti di mulut persimpangan sehingga arus tersendat.,JKS-034,-6.235084,106.761514,"Sekitar Ulujami, di area parkir",22,71,Ditangani
RPT-0090,2025-05-23T03:30+07:00,2025-05-21T16:22+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-018,-6.252387,106.830345,"Sekitar Duren Tiga, dekat taman",71,34,Diteruskan
RPT-0091,2025-12-30T09:46+07:00,2025-12-29T11:14+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-005,-6.240268,106.808746,"Sekitar Pulo, di jalan utama",90,29,Diterima
RPT-0092,2023-03-28T19:19+07:00,2023-03-28T18:06+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-007,-6.250890,106.770985,"Sekitar Kebayoran Lama Utara, di deretan pertokoan",34,67,Ditangani
RPT-0093,2025-07-06T17:07+07:00,2025-07-05T12:17+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,,-6.276098,106.859647,"Wilayah Pasar Minggu, di kolong jalan layang",17,53,Diverifikasi
RPT-0094,2023-01-14T20:51+07:00,2023-01-14T17:41+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-027,-6.217716,106.829325,"Sekitar Karet Kuningan, dekat halte",40,67,Selesai
RPT-0095,2024-04-06T22:33+07:00,2024-04-06T14:36+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-005,-6.239843,106.807725,"Sekitar Pulo, di deretan pertokoan",66,71,Ditangani
RPT-0096,2024-12-03T03:44+07:00,,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-031,-6.331464,106.795048,"Sekitar Ciganjur, dekat halte",17,57,Diteruskan
RPT-0097,2024-12-15T19:26+07:00,2024-12-14T23:25+07:00,Kejahatan Jalanan,Percobaan penjambretan terhadap pejalan kaki di trotoar dekat perempatan.,,-6.222061,106.849711,"Wilayah Setiabudi, di deretan pertokoan",49,49,Diteruskan
RPT-0098,2025-11-08T06:50+07:00,2025-11-07T17:28+07:00,Pencurian Kendaraan,Mobil kehilangan kaca spion di bahu jalan permukiman.,JKS-015,-6.309405,106.820911,"Sekitar Ragunan, dekat pasar",60,19,Diterima
RPT-0099,2025-12-17T16:00+07:00,2025-12-17T06:48+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-025,-6.256096,106.815784,"Sekitar Bangka, dekat taman",34,7,Diterima
RPT-0100,2025-03-25T17:34+07:00,,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,,-6.278332,106.793416,"Wilayah Cilandak, di deretan pertokoan",71,33,Diteruskan
RPT-0101,2023-11-27T22:45+07:00,2023-11-27T12:37+07:00,Kejahatan Jalanan,Pengendara motor dipepet dari belakang saat melintasi jalan yang minim lampu.,JKS-005,-6.240529,106.810797,"Sekitar Pulo, dekat pasar",46,58,Ditangani
RPT-0102,2025-11-15T23:01+07:00,2025-11-14T14:04+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-021,-6.230703,106.854993,"Sekitar Tebet Timur, di area parkir",41,51,Diteruskan
RPT-0103,2025-12-16T11:21+07:00,2025-12-15T21:51+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-010,-6.286351,106.795325,"Sekitar Gandaria Selatan, dekat pasar",67,7,Diterima
RPT-0104,2025-10-06T03:16+07:00,2025-10-04T16:21+07:00,Pencurian Kendaraan,Sepeda motor hilang dari area parkir warung pada malam hari.,JKS-013,-6.276315,106.832238,"Sekitar Pejaten Barat, di area parkir",79,33,Diverifikasi
RPT-0105,2023-03-28T12:54+07:00,2023-03-27T22:53+07:00,Kejahatan Jalanan,Pengendara motor dipepet dari belakang saat melintasi jalan yang minim lampu.,JKS-016,-6.286316,106.835689,"Sekitar Jati Padang, di deretan pertokoan",60,72,Ditangani
RPT-0106,2025-03-20T13:44+07:00,2025-03-19T18:11+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-026,-6.256102,106.821497,"Sekitar Tegal Parang, di kolong jalan layang",26,43,Diteruskan
RPT-0107,2023-09-18T08:18+07:00,2023-09-18T05:35+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-024,-6.247089,106.819450,"Sekitar Mampang Prapatan, di jalan utama",47,64,Diteruskan
